graph,vertices,edges,components,density,total_length,mean_length
Complete,12,66,1,1.0,35.8082,0.5425
Delaunay,12,27,1,0.4091,9.4346,0.3494
Convex hull,12,6,7,0.0909,2.9183,0.4864
MST,12,11,1,0.1667,2.8364,0.2579
Unit disk,12,17,1,0.2576,4.6631,0.2743
Gabriel,12,20,1,0.303,5.85,0.2925
RNG,12,14,1,0.2121,3.891,0.2779
Beta skeleton,12,17,1,0.2576,4.7204,0.2777
Nearest neighbor,12,15,1,0.2273,4.2112,0.2807
Sphere influence,12,32,1,0.4848,11.191,0.3497
Sigma graph,12,23,1,0.3485,7.0855,0.3081
Elliptic Gabriel,12,17,1,0.2576,4.7204,0.2777
Stepping stone,12,20,1,0.303,5.85,0.2925
Alpha shape,12,11,2,0.1667,3.0994,0.2818
Alpha hull,12,11,2,0.1667,3.0994,0.2818
Gamma graph,12,2,10,0.0303,0.4672,0.2336
Physarum,12,66,1,1.0,35.8082,0.5425
Fungal,12,32,1,0.4848,11.9531,0.3735
