simulation,graph_type,n_vertices,n_edges,n_components,n_faces,mean_degree,std_degree,min_degree,max_degree,mean_length,std_length,min_length,max_length,total_length,entropy_degree,entropy_length,entropy_orientation,is_connected,density
0,MST,18,17,1,1,1.8888888888888888,0.8089010988089465,1,3,0.16698810534345437,0.056219729110565296,0.05235139142366614,0.2672294165892457,2.8387977908387243,1.5715416718219246,3.1307179879273748,3.8521687236032816,True,0.1111111111111111
0,RNG,18,17,1,1,1.8888888888888888,0.8089010988089465,1,3,0.16698810534345437,0.056219729110565296,0.05235139142366614,0.2672294165892457,2.8387977908387243,1.5715416718219246,3.1307179879273748,3.8521687236032816,True,0.1111111111111111
0,Gabriel,18,32,1,16,3.5555555555555554,1.3005222123021805,1,6,0.22080196426910678,0.09238180432851985,0.05235139142366614,0.44175827484535235,7.065662856611417,2.2584598927441624,3.0148191426459237,4.265319531114783,True,0.20915032679738563
0,Unit disk,18,38,1,22,4.222222222222222,1.8425693279752222,1,7,0.2033811440493801,0.0647244215600138,0.05235139142366614,0.31336373769748704,7.728483473876444,2.7527152789797045,3.201911567078995,4.398857447483312,True,0.24836601307189543
0,Gamma,18,2,16,1,0.2222222222222222,0.41573970964154905,0,1,0.07444539127929566,0.022093999855629515,0.05235139142366614,0.09653939113492517,0.1488907825585913,0.7642045065086203,1.0,1.0,False,0.013071895424836602
0,Fungal,18,49,1,33,5.444444444444445,0.9558139185602919,3,6,0.2622688711147148,0.12115806067203037,0.05235139142366614,0.584167104901934,12.851174684621027,1.2332247882202199,3.067324052778095,4.624315456095191,True,0.3202614379084967
1,MST,18,17,1,1,1.8888888888888888,0.7370277311900888,1,3,0.15196519107905732,0.12105936433978087,0.016424386918471444,0.5693093079205235,2.583408248343974,1.5304930567574826,2.3071885761626687,3.85216872360328,True,0.1111111111111111
1,RNG,18,18,1,2,2.0,0.7453559924999299,1,3,0.15111529509920318,0.11770073059718775,0.016424386918471444,0.5693093079205235,2.7200753117856573,1.546631615393778,2.2584598927441624,3.9477027792200907,True,0.11764705882352941
1,Gabriel,18,26,1,10,2.888888888888889,1.1967032904743342,1,5,0.20281691258939608,0.1463408042173456,0.016424386918471444,0.6347166091573323,5.273239727324298,2.197159723424149,2.7570041407187533,4.085055102756478,True,0.16993464052287582
1,Unit disk,18,53,2,38,5.888888888888889,2.6851213274654606,0,10,0.20635020259954395,0.08113626995430155,0.016424386918471444,0.3132431885962917,10.93656073777583,2.9749375012019272,3.0576743513052413,4.598216624734383,False,0.3464052287581699
1,Gamma,18,5,13,1,0.5555555555555556,0.7617394000445605,0,2,0.0948377830029477,0.07537475039378971,0.016424386918471444,0.2095779329930846,0.47418891501473853,1.3472230399326601,1.9219280948873625,2.3219280948873626,False,0.032679738562091505
1,Fungal,18,52,1,36,5.777777777777778,0.7114582486036499,4,7,0.2625266186574814,0.16071775569031815,0.016424386918471444,0.7058473904740946,13.651384170189033,1.0975378398419537,2.995992118330032,4.603909910282365,True,0.33986928104575165
2,MST,18,17,1,1,1.8888888888888888,0.6573421981221795,1,3,0.16971134197591956,0.07885518681906449,0.024410924683262898,0.351578151343792,2.8850928135906324,1.4152689500270954,2.984234164652489,3.337175341123077,True,0.1111111111111111
2,RNG,18,18,1,2,2.0,0.5773502691896257,1,3,0.18269814278648008,0.09348720318260267,0.024410924683262898,0.40347375656600903,3.2885665701566413,1.2516291673878228,2.858278308418045,3.4613201402110083,True,0.11764705882352941
