simulation,graph_type,n_vertices,n_edges,n_components,n_faces,mean_degree,std_degree,min_degree,max_degree,mean_length,std_length,min_length,max_length,total_length,entropy_degree,entropy_length,entropy_orientation,is_connected,density
0,Gabriel,100,180,1,82,3.6,1.1224972160321824,2,7,0.09684084406540584,0.048821801707443435,0.009272006106549109,0.241038211006653,17.43135193177305,2.1377394034199786,2.994733252189975,5.009106466895596,True,0.03636363636363636
0,RNG,100,120,1,22,2.4,0.6633249580710799,1,4,0.07974839768326016,0.0401731023885019,0.009272006106549109,0.18521319847956455,9.569807721991218,1.4519883246991914,3.1063052369663673,4.813175446562158,True,0.024242424242424242
1,Gabriel,100,179,1,81,3.58,1.0117311895953391,2,7,0.10185264546333478,0.05268249538937306,0.011029635204473172,0.2569801717919173,18.231623537936926,2.0188589707839704,3.0189141080468027,5.020940726843852,True,0.03616161616161616
1,RNG,100,122,1,24,2.44,0.6829348431585549,1,4,0.08372352052232049,0.044070646482146945,0.011029635204473172,0.20341329627100357,10.2142695037231,1.482174970444962,3.102712492425147,4.834540264765867,True,0.024646464646464646
2,Gabriel,100,179,1,81,3.58,1.031309846748299,1,6,0.09849139557514261,0.050695309796858004,0.0064439396338186235,0.23170403754728625,17.629959807950527,2.0722020478063006,3.0866863097550397,5.0345998206844875,True,0.03616161616161616
2,RNG,100,117,1,19,2.34,0.7644605941446556,1,4,0.08057015000467932,0.04185516755852276,0.0064439396338186235,0.20561804363890598,9.42670755054748,1.637281945164636,2.87071592585796,4.938711306332247,True,0.023636363636363636
3,Gabriel,100,181,1,83,3.62,1.037111372997134,1,6,0.09548776574130735,0.046619278246939885,0.005468695412341374,0.26394594680015754,17.28328559917663,2.053369208381325,2.7999011411850754,5.059281958270459,True,0.036565656565656565
3,RNG,100,121,1,23,2.42,0.6352952069707437,1,4,0.07868677416707912,0.03530818890303059,0.005468695412341374,0.2180846183653496,9.521099674216574,1.3858265271848895,2.6543893345330267,4.946479176262701,True,0.024444444444444446
4,Gabriel,100,171,1,73,3.42,1.1061645447219866,1,7,0.09680810398951327,0.04958573233105466,0.011004636835597647,0.26632559921904153,16.55418578220677,2.1624780928540677,2.8402919134476488,5.091818069078493,True,0.034545454545454546
4,RNG,100,121,1,23,2.42,0.6660330322138684,1,4,0.07943731661400248,0.038565755003975674,0.011004636835597647,0.1968034375326505,9.6119153102943,1.4580591068891482,2.916313306449616,4.9954541025342145,True,0.024444444444444446
5,Gabriel,100,188,1,90,3.76,1.096540012949824,1,6,0.09759600574206391,0.047848932587260695,0.007869442844616681,0.29100776815321344,18.348049079508016,2.155629793341109,2.722997439864616,5.026705729329368,True,0.03797979797979798
5,RNG,100,118,1,20,2.36,0.7282856582413249,1,4,0.07856509290733059,0.038094861145014196,0.007869442844616681,0.18760226046054884,9.27068096306501,1.583186151405936,3.0265991490137063,4.957795869836202,True,0.02383838383838384
